LSE:EVR,£393.81 ,100
NYSE:FIS,£344.14 ,3
LSE:CLIG,£299.88 ,68
LSE:BP,£191.04 ,80
LSE:IAG,£154.65 ,100
NYSE:PFE,£146.35 ,7
LSE:N91,£233.00 ,100
